BHK,TYPE,AREA,C_STATUS,SQ_FT,CITY,PRICE
3,Apartment,Khodiyar,Ready to move,3340,Ahmedabad,4820
2,Apartment,Bopal,Ready to move,1400,Ahmedabad,4500
4,Apartment,Bodakdev,Ready to move,3825,Ahmedabad,6797
2,Apartment,Bopal,Under Construction,1450,Ahmedabad,3000
2,Apartment,Ambli,Ready to move,2675,Ahmedabad,8598
3,Apartment,Thaltej,Ready to move,2514,Ahmedabad,6563
4,Apartment,Jodhpur Village,Ready to move,5200,Ahmedabad,8173
4,Apartment,Jodhpur Village,Ready to move,5200,Ahmedabad,8173
1,Apartment,Near Nirma University On SG Highway,Under Construction,527,Ahmedabad,5692
1,Apartment,Near Nirma University On SG Highway,Under Construction,527,Ahmedabad,5692
1,Apartment,Ranip,Under Construction,1069,Ahmedabad,2899
2,Apartment,Paldi,Ready to move,1872,Ahmedabad,5074
2,Apartment,Ranip,Under Construction,1232,Ahmedabad,3003
3,Independent House,Bodakdev,Ready to move,2700,Ahmedabad,12777
3,Independent House,Thaltej,Ready to move,1800,Ahmedabad,13888
3,Independent House,Bodakdev,Ready to move,2700,Ahmedabad,12407
4,Independent House,Navrangpura,Ready to move,3240,Ahmedabad,14351
3,Apartment,Thaltej,Ready to move,3850,Ahmedabad,3896
2,Apartment,Jodhpur Village,Under Construction,2025,Ahmedabad,6518
2,Apartment,Satellite,Ready to move,2133,Ahmedabad,7501
2,Apartment,Prahlad Nagar,Ready to move,2050,Ahmedabad,5853
4,Independent House,Science City,Ready to move,1980,Ahmedabad,13636
4,Independent House,Thaltej,Ready to move,3375,Ahmedabad,13333
3,Apartment,Bodakdev,Under Construction,3402,Ahmedabad,7000
4,Independent House,Thaltej,Ready to move,1845,Ahmedabad,12737
2,Independent House,Satellite,Ready to move,2250,Ahmedabad,14444
3,Independent House,Satellite,Ready to move,3600,Ahmedabad,12500
3,Apartment,Prahlad Nagar,Ready to move,2675,Ahmedabad,6542
3,Apartment,Jodhpur Village,Ready to move,3915,Ahmedabad,10498
2,Apartment,Jodhpur Village,Ready to move,2507,Ahmedabad,8416
3,Apartment,Bopal,Ready to move,2040,Ahmedabad,4411
2,Apartment,Bopal,Ready to move,1250,Ahmedabad,4400
2,Apartment,Makarba,Ready to move,1080,Ahmedabad,4629
3,Apartment,Makarba,Ready to move,1705,Ahmedabad,4868
3,Apartment,Makarba,Ready to move,1557,Ahmedabad,4046
3,Apartment,Bopal,Ready to move,1919,Ahmedabad,4429
3,Apartment,Chandkheda,Ready to move,1404,Ahmedabad,3561
4,Apartment,Prahlad Nagar,Ready to move,2675,Ahmedabad,6728
4,Apartment,Jodhpur Village,Ready to move,3690,Ahmedabad,6775
3,Apartment,Bopal,Ready to move,1385,Ahmedabad,4332
3,Apartment,Prahlad Nagar,Ready to move,1930,Ahmedabad,5699
2,Apartment,Makarba,Ready to move,1070,Ahmedabad,4672
3,Apartment,Jodhpur Village,Ready to move,2610,Ahmedabad,6513
3,Apartment,Bopal,Ready to move,2520,Ahmedabad,6349
2,Apartment,Bopal,Under Construction,1250,Ahmedabad,3440
2,Apartment,Bopal,Ready to move,1180,Ahmedabad,4661
3,Apartment,Prahlad Nagar,Ready to move,2050,Ahmedabad,6585
2,Apartment,Shela,Ready to move,1140,Ahmedabad,3421
2,Apartment,Chandkheda,Ready to move,1170,Ahmedabad,3205
3,Apartment,Thaltej,Ready to move,1900,Ahmedabad,6315
3,Apartment,Thaltej,Ready to move,1900,Ahmedabad,6315
3,Apartment,Makarba,Ready to move,1915,Ahmedabad,4960
3,Apartment,Thaltej,Ready to move,1998,Ahmedabad,5005
3,Apartment,Makarba,Ready to move,1705,Ahmedabad,4692
4,Apartment,Jodhpur Village,Ready to move,3690,Ahmedabad,6775
3,Apartment,Jodhpur Village,Ready to move,2430,Ahmedabad,6995
2,Apartment,Prahlad Nagar,Ready to move,1400,Ahmedabad,4642
3,Apartment,Bopal,Ready to move,1395,Ahmedabad,4014
2,Apartment,Makarba,Ready to move,1050,Ahmedabad,4761
2,Apartment,Makarba,Ready to move,1080,Ahmedabad,4629
3,Apartment,Jodhpur Village,Ready to move,1737,Ahmedabad,6332
2,Apartment,Jodhpur Village,Ready to move,1150,Ahmedabad,6260
3,Apartment,Prahlad Nagar,Ready to move,1930,Ahmedabad,5699
2,Apartment,Makarba,Ready to move,1080,Ahmedabad,4629
2,Apartment,Jodhpur Village,Ready to move,2500,Ahmedabad,6800
2,Apartment,Prahlad Nagar,Ready to move,2050,Ahmedabad,5609
2,Apartment,Satellite,Ready to move,2088,Ahmedabad,7662
4,Apartment,Ellisbridge,Ready to move,3520,Ahmedabad,7386
1,Apartment,Ambavadi,Ready to move,1377,Ahmedabad,5882
2,Apartment,Navrangpura,Ready to move,1530,Ahmedabad,5294
2,Apartment,Jodhpur Village,Ready to move,2000,Ahmedabad,5200
3,Apartment,Jodhpur Village,Ready to move,1862,Ahmedabad,6015
2,Apartment,Jodhpur Village,Ready to move,2151,Ahmedabad,6508
3,Apartment,Prahlad Nagar,Ready to move,1800,Ahmedabad,5555
3,Apartment,Bopal,Under Construction,1430,Ahmedabad,3000
2,Apartment,Bopal,Ready to move,1170,Ahmedabad,2991
3,Apartment,Navrangpura,Ready to move,1530,Ahmedabad,5294
3,Apartment,Makarba,Ready to move,1557,Ahmedabad,4174
2,Apartment,Shela,Ready to move,1285,Ahmedabad,3501
3,Apartment,Shela,Ready to move,1860,Ahmedabad,4569
4,Apartment,Shela,Ready to move,2400,Ahmedabad,4375
3,Apartment,Shela,Ready to move,1590,Ahmedabad,2800
3,Apartment,Shela,Ready to move,1880,Ahmedabad,2800
3,Apartment,Bopal,Under Construction,1725,Ahmedabad,3200
2,Apartment,Bopal,Under Construction,1725,Ahmedabad,4347
2,Apartment,Makarba,Ready to move,1064,Ahmedabad,4135
3,Apartment,Makarba,Ready to move,1557,Ahmedabad,4174
3,Apartment,Jodhpur Village,Ready to move,1999,Ahmedabad,5502
4,Apartment,Prahlad Nagar,Ready to move,2675,Ahmedabad,6728
3,Apartment,Bopal,Ready to move,1440,Ahmedabad,4513
3,Apartment,Bopal,Ready to move,1485,Ahmedabad,4377
2,Apartment,Jodhpur Village,Ready to move,1485,Ahmedabad,5791
2,Apartment,Makarba,Ready to move,1305,Ahmedabad,4137
3,Apartment,Bopal,Ready to move,1545,Ahmedabad,4207
2,Apartment,Ambavadi,Ready to move,1917,Ahmedabad,6155
3,Apartment,Jodhpur Village,Ready to move,1850,Ahmedabad,6216
1,Apartment,Satellite,Ready to move,1209,Ahmedabad,5789
2,Apartment,Prahlad Nagar,Ready to move,1965,Ahmedabad,6361
2,Apartment,Bopal,Ready to move,1170,Ahmedabad,2991
2,Apartment,Jodhpur Village,Ready to move,1260,Ahmedabad,4761
2,Apartment,Bopal,Under Construction,1985,Ahmedabad,4382
2,Apartment,Bopal,Under Construction,1985,Ahmedabad,3200
2,Apartment,Makarba,Ready to move,1050,Ahmedabad,4857
3,Apartment,Makarba,Ready to move,1530,Ahmedabad,4967
2,Apartment,Jodhpur Village,Ready to move,1575,Ahmedabad,6031
3,Independent House,Ghuma,Ready to move,1215,Ahmedabad,5102
3,Apartment,Bopal,Ready to move,2025,Ahmedabad,4197
5,Apartment,Jodhpur Village,Ready to move,3800,Ahmedabad,6578
3,Apartment,Thaltej,Ready to move,2250,Ahmedabad,5911
3,Apartment,Satellite,Ready to move,2100,Ahmedabad,7142
3,Apartment,Thaltej,Ready to move,2410,Ahmedabad,7510
2,Apartment,Vastrapur,Under Construction,2230,Ahmedabad,5300
3,Apartment,Vastrapur,Under Construction,3230,Ahmedabad,5300
2,Apartment,Gota,Under Construction,2133,Ahmedabad,3777
2,Apartment,Gota,Under Construction,1890,Ahmedabad,4055
3,Apartment,Gota,Under Construction,1746,Ahmedabad,3222
3,Apartment,Gota,Under Construction,1935,Ahmedabad,3222
3,Apartment,Gota,Under Construction,1746,Ahmedabad,3222
3,Apartment,Gota,Under Construction,1935,Ahmedabad,3222
3,Apartment,Gota,Under Construction,1746,Ahmedabad,3222
3,Apartment,Gota,Under Construction,2079,Ahmedabad,3611
3,Apartment,Gota,Under Construction,2079,Ahmedabad,3611
3,Apartment,Gota,Under Construction,2025,Ahmedabad,3562
3,Apartment,Gota,Under Construction,1935,Ahmedabad,3222
2,Apartment,Ranip,Under Construction,1232,Ahmedabad,3652
2,Apartment,Ranip,Under Construction,1232,Ahmedabad,2934
2,Apartment,Ranip,Under Construction,1232,Ahmedabad,3003
2,Apartment,Ranip,Under Construction,1232,Ahmedabad,3003
2,Apartment,Ranip,Under Construction,1232,Ahmedabad,3003
1,Apartment,Ranip,Under Construction,903,Ahmedabad,3100
2,Apartment,Ranip,Under Construction,1232,Ahmedabad,3003
1,Apartment,Ranip,Under Construction,903,Ahmedabad,3100
1,Apartment,Ranip,Under Construction,1069,Ahmedabad,2885
2,Apartment,Near Nirma University On SG Highway,Under Construction,624,Ahmedabad,5929
2,Apartment,Khodiyar,Ready to move,1850,Ahmedabad,4594
3,Apartment,Shela,Under Construction,2040,Ahmedabad,3186
4,Apartment,Shela,Under Construction,2585,Ahmedabad,3200
3,Apartment,Jodhpur Village,Ready to move,2781,Ahmedabad,6292
3,Apartment,Bopal,Ready to move,2350,Ahmedabad,4255
3,Apartment,Ellisbridge,Ready to move,2564,Ahmedabad,8190
3,Apartment,Gota,Under Construction,2133,Ahmedabad,3777
3,Apartment,Memnagar,Ready to move,1188,Ahmedabad,5000
1,Apartment,Memnagar,Ready to move,970,Ahmedabad,5051
2,Apartment,Memnagar,Ready to move,970,Ahmedabad,5051
3,Apartment,Memnagar,Ready to move,1509,Ahmedabad,5000
2,Apartment,Memnagar,Ready to move,1509,Ahmedabad,5000
2,Apartment,Memnagar,Ready to move,1188,Ahmedabad,5000
3,Apartment,Memnagar,Ready to move,1632,Ahmedabad,5000
3,Apartment,Memnagar,Ready to move,1632,Ahmedabad,5000
2,Apartment,Shela,Under Construction,1350,Ahmedabad,3148
3,Apartment,Bopal,Ready to move,1375,Ahmedabad,5818
3,Apartment,Thaltej,Ready to move,2223,Ahmedabad,7692
3,Apartment,Jodhpur Village,Ready to move,1746,Ahmedabad,6872
3,Apartment,Gota,Under Construction,2133,Ahmedabad,3777
3,Apartment,Memnagar,Ready to move,1188,Ahmedabad,5000
1,Apartment,Memnagar,Ready to move,970,Ahmedabad,5051
2,Apartment,Memnagar,Ready to move,970,Ahmedabad,5051
2,Apartment,Bopal,Under Construction,1470,Ahmedabad,3401
2,Apartment,Bopal,Under Construction,1185,Ahmedabad,3459
2,Apartment,Shilaj,Under Construction,1530,Ahmedabad,3594
4,Apartment,Gota,Ready to move,2340,Ahmedabad,4059
3,Apartment,Vastrapur,Under Construction,1800,Ahmedabad,5555
3,Apartment,Near Vaishno Devi Circle On SG Highway,Ready to move,2510,Ahmedabad,3784
2,Apartment,Shela,Under Construction,1350,Ahmedabad,3148
2,Apartment,Bopal,Under Construction,1200,Ahmedabad,3333
2,Apartment,Gota,Under Construction,1575,Ahmedabad,3555
2,Apartment,Near Nirma University On SG Highway,Ready to move,1160,Ahmedabad,4482
2,Apartment,Chandkheda,Ready to move,1053,Ahmedabad,3608
2,Apartment,Gandhi Nagar,Ready to move,1109,Ahmedabad,3561
2,Apartment,Chandkheda,Ready to move,1125,Ahmedabad,3288
4,Independent House,Navrangpura,Ready to move,3240,Ahmedabad,14351
5,Independent House,Navrangpura,Ready to move,2520,Ahmedabad,12738
2,Apartment,Satellite,Ready to move,2610,Ahmedabad,6398
3,Apartment,Bodakdev,Ready to move,2025,Ahmedabad,5925
3,Independent House,Bodakdev,Ready to move,3375,Ahmedabad,22222
3,Apartment,Bodakdev,Ready to move,4365,Ahmedabad,4238
3,Apartment,Thaltej,Ready to move,3448,Ahmedabad,9860
2,Apartment,Bodakdev,Ready to move,2677,Ahmedabad,6985
2,Apartment,Science City,Ready to move,2160,Ahmedabad,6481
2,Apartment,Vastrapur,Ready to move,1251,Ahmedabad,5796
3,Apartment,Naranpuraa,Ready to move,1980,Ahmedabad,6565
1,Apartment,Bopal,Under Construction,1050,Ahmedabad,3571
2,Apartment,Bopal,Under Construction,1480,Ahmedabad,4121
1,Apartment,Bopal,Under Construction,1250,Ahmedabad,3800
2,Apartment,Bopal,Under Construction,1260,Ahmedabad,3551
2,Apartment,Bopal,Ready to move,1692,Ahmedabad,4609
3,Apartment,Memnagar,Ready to move,2394,Ahmedabad,6000
3,Apartment,Vastrapur,Under Construction,1815,Ahmedabad,5400
2,Apartment,Shela,Under Construction,1435,Ahmedabad,3300
1,Apartment,Shela,Under Construction,1350,Ahmedabad,3150
2,Apartment,Shela,Under Construction,1435,Ahmedabad,3300
1,Apartment,Shela,Under Construction,1350,Ahmedabad,3150
1,Apartment,Shela,Under Construction,1315,Ahmedabad,3150
2,Apartment,Shela,Under Construction,1504,Ahmedabad,2975
2,Apartment,Bopal,Under Construction,1485,Ahmedabad,3200
